User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
149547063,5/31/2021 9:35,Spot,ETH 2.0 Staking Rewards,BETH,0.00000955,
149547063,6/1/2021 1:08,Spot,POS savings interest,ADA,0.0128052,
149547063,6/1/2021 1:14,Spot,POS savings interest,ADA,0.00944998,
149547063,6/1/2021 3:14,Spot,Savings Interest,BTC,3.40E-07,
149547063,6/1/2021 3:58,Spot,Savings Interest,BNB,0.00000197,
149547063,6/1/2021 8:28,Spot,ETH 2.0 Staking Rewards,BETH,0.00000953,
149547063,6/2/2021 1:08,Spot,POS savings interest,ADA,0.0128052,
149547063,6/2/2021 1:15,Spot,POS savings interest,ADA,0.00944998,
149547063,6/2/2021 8:28,Spot,ETH 2.0 Staking Rewards,BETH,0.00000942,
149547063,6/2/2021 8:51,Spot,Savings Interest,BNB,0.00000197,
149547063,6/2/2021 10:16,Spot,Savings Interest,BTC,3.40E-07,
149547063,6/3/2021 1:08,Spot,POS savings interest,ADA,0.0128052,
149547063,6/3/2021 1:14,Spot,POS savings interest,ADA,0.00944998,
149547063,6/3/2021 3:18,Spot,Super BNB Mining,ATA,0.03014739,
149547063,6/3/2021 3:18,Spot,Savings Interest,BTC,3.40E-07,
149547063,6/3/2021 4:07,Spot,Savings Interest,BNB,0.00000197,
149547063,6/3/2021 11:18,Spot,ETH 2.0 Staking Rewards,BETH,0.00000939,
149547063,6/4/2021 3:08,Spot,Savings Interest,BTC,3.40E-07,
149547063,6/4/2021 3:33,Spot,Super BNB Mining,ATA,0.02770747,
149547063,6/4/2021 4:20,Spot,Savings Interest,BNB,0.00000197,
149547063,6/4/2021 4:26,Spot,POS savings interest,ADA,0.0128052,
149547063,6/4/2021 4:33,Spot,POS savings interest,ADA,0.00944998,
149547063,6/4/2021 8:30,Spot,ETH 2.0 Staking Rewards,BETH,0.00000938,
149547063,6/5/2021 1:06,Spot,POS savings interest,ADA,0.0128052,
